dep=0,dep=1,dep=2,dep=3,dep=4,dep=5,dep=6,dep=7,dep=8
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4,5,4,3,2,2,0,0,0
19,21,43,46,46,45,10,14,10
86,196,193,184,89,56,14,10,3
269,555,656,488,274,113,32,14,1
582,1263,1618,1303,1032,440,125,46,7
1194,2476,3114,2654,1647,694,188,58,17
1840,3757,4445,3645,2462,1143,402,143,36
2887,5209,4496,2940,2191,1263,511,146,38
3738,6862,4913,1707,1136,723,359,206,116
3281,7360,7127,4607,4734,4504,3430,3173,4327
1444,5387,9350,10359,15262,20221,18908,23275,65917
605,1353,2740,5249,12049,18962,17952,24008,164177
1,19,47,88,173,243,104,124,161
