dep=0,dep=1,dep=2,dep=3,dep=4,dep=5,dep=6,dep=7,dep=8
114,2,0,0,0,0,0,0,0
2491,646,69,0,0,0,0,0,0
7380,5363,1487,124,7,1,0,0,0
7721,10215,5854,2147,554,83,19,1,0
7350,8442,6933,4788,2449,957,241,51,8
8842,7693,3930,1991,1014,432,121,28,2
9531,4956,1322,203,24,1,0,0,0
8909,3802,689,95,7,1,0,0,0
8551,3291,584,59,7,0,0,0,0
8774,2894,461,37,9,1,0,0,0
9016,2465,365,41,3,0,0,0,0
8718,2385,287,5,0,0,0,0,0
8836,2314,307,24,2,0,0,0,0
10297,3443,610,56,3,1,0,0,0
12523,12763,5627,1378,196,17,0,0,0
795,4212,8873,16419,25419,22885,15042,9764,4151
