dep=0,dep=1,dep=2,dep=3,dep=4,dep=5,dep=6,dep=7,dep=8
8,37,370,1,0,0,0,0,0
45,186,275,0,0,0,0,0,0
70,347,1167,21,16,22,1,0,0
75,336,1159,152,158,214,0,0,0
122,492,1314,245,290,321,45,28,17
550,1281,1911,1685,1980,2484,1202,1098,1162
1762,4280,6926,10282,13311,17877,16917,17291,25086
1300,4153,8031,13962,23315,38707,50851,61900,112227
1827,4721,7340,10371,14833,21562,26024,30370,52469
919,2150,3158,2720,2781,2626,1542,1074,792
147,511,1068,109,68,87,6,1,0
71,332,701,14,4,0,0,0,0
40,138,326,0,0,0,0,0,0
5,14,13,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
